data,id_municipio,municipio,chuva_mm,horas_chuva,temp_media,temp_max,temp_min
2024-01-01,320530,Vitoria,6.3,14.0,24.3,25.9,22.4
2024-01-02,320530,Vitoria,9.0,19.0,24.0,26.1,22.3
2024-01-03,320530,Vitoria,6.1,16.0,25.4,29.1,23.2
2024-01-04,320530,Vitoria,18.6,23.0,25.9,30.1,24.4
2024-01-05,320530,Vitoria,15.7,17.0,25.3,28.0,24.1
2024-01-06,320530,Vitoria,2.1,5.0,25.5,28.1,23.6
2024-01-07,320530,Vitoria,0.0,0.0,25.3,28.1,22.6
2024-01-08,320530,Vitoria,0.2,1.0,26.4,31.4,23.1
2024-01-09,320530,Vitoria,0.3,3.0,27.3,32.7,24.6
2024-01-10,320530,Vitoria,0.9,4.0,26.8,30.5,24.0
2024-01-11,320530,Vitoria,0.0,0.0,26.1,31.3,22.4
2024-01-12,320530,Vitoria,0.0,0.0,26.8,32.5,22.7
2024-01-13,320530,Vitoria,0.0,0.0,27.2,32.2,24.3
2024-01-14,320530,Vitoria,0.1,1.0,27.3,32.1,24.0
2024-01-15,320530,Vitoria,0.0,0.0,27.8,34.0,24.2
2024-01-16,320530,Vitoria,0.0,0.0,27.8,33.0,24.4
2024-01-17,320530,Vitoria,0.0,0.0,27.6,33.8,23.8
2024-01-18,320530,Vitoria,0.0,0.0,27.6,33.7,23.3
2024-01-19,320530,Vitoria,0.0,0.0,28.5,35.3,24.2
2024-01-20,320530,Vitoria,2.6,4.0,29.3,36.2,25.3
2024-01-21,320530,Vitoria,15.6,14.0,27.5,33.1,24.7
2024-01-22,320530,Vitoria,5.8,18.0,26.3,29.2,24.5
2024-01-23,320530,Vitoria,3.1,13.0,25.6,28.2,24.0
2024-01-24,320530,Vitoria,10.4,20.0,24.3,26.9,22.3
2024-01-25,320530,Vitoria,43.6,23.0,24.8,27.2,23.3
2024-01-26,320530,Vitoria,62.8,14.0,25.7,29.0,23.8
2024-01-27,320530,Vitoria,7.3,8.0,25.6,27.9,23.9
2024-01-28,320530,Vitoria,25.8,20.0,24.9,26.4,23.9
2024-01-29,320530,Vitoria,4.6,5.0,26.9,31.8,23.6
2024-01-30,320530,Vitoria,2.0,5.0,27.4,30.7,24.7
2024-01-31,320530,Vitoria,5.8,9.0,27.4,30.8,24.6
2024-02-01,320530,Vitoria,14.1,7.0,26.2,31.2,23.1
2024-02-02,320530,Vitoria,3.3,7.0,26.3,30.2,23.7
2024-02-03,320530,Vitoria,3.9,11.0,25.7,28.4,22.6
2024-02-04,320530,Vitoria,0.4,4.0,26.3,29.3,24.1
2024-02-05,320530,Vitoria,0.6,3.0,26.5,29.6,24.0
2024-02-06,320530,Vitoria,0.1,1.0,27.3,31.7,24.2
2024-02-07,320530,Vitoria,3.2,3.0,26.7,30.3,24.0
2024-02-08,320530,Vitoria,1.1,4.0,26.8,31.0,24.7
2024-02-09,320530,Vitoria,0.2,2.0,26.0,30.5,22.4
2024-02-10,320530,Vitoria,25.9,17.0,24.8,28.2,22.5
2024-02-11,320530,Vitoria,0.2,2.0,26.1,29.6,23.2
2024-02-12,320530,Vitoria,0.6,4.0,26.5,29.7,22.9
2024-02-13,320530,Vitoria,0.0,0.0,26.9,31.9,22.5
2024-02-14,320530,Vitoria,0.0,0.0,27.7,34.4,23.1
2024-02-15,320530,Vitoria,5.8,9.0,27.1,31.3,24.8
2024-02-16,320530,Vitoria,29.2,13.0,24.9,27.4,23.9
2024-02-17,320530,Vitoria,2.5,8.0,25.6,29.1,22.6
2024-02-18,320530,Vitoria,13.4,10.0,26.1,29.8,23.2
2024-02-19,320530,Vitoria,6.6,8.0,26.5,30.5,24.0
2024-02-20,320530,Vitoria,10.3,14.0,26.5,31.0,24.2
